Unnamed: 0,youtube_id,comment,like_num
108,이혜윤,표현할 수 없을 정도로 너무 쪼하ㅠㅠ💙💙💜💜,0개
109,세상에서제일,"와 대박이다진짜 영상 퀄리티며 의상이며 뭐하나빠지는게 없네용,,,,>_<♡",0개
110,김엘리,"영상이 너무 예쁘고 한별님은 귀엽따.,..💐",0개
111,박휴지,"와,,언니 진짜 감성 최고 믿맡믿보 한별,,,,🎵",0개
112,도르,우와 한별님이 살리고자 한 느낌..? 감성..? 딱 알 거 같아요 영상 제작하시느라 고생하셨어요 대박대박👍🏻👍🏻👍🏻,1개
113,외않되외지,4:19 디테일까지 완벽...,0개
114,조윤경,엥 완전 유럽 귀족 아가씨...........근대 유럽 아가씨같네ㅠㅠㅠ언니 사랑해요ㅠㅠㅠㅠㅠ이게 뭔 중세시대야 유럽 고증은 딱 근대유럽인디,0개
115,파메,뭐지 옛날 명작 영화 보는 느낌이야....귀족 자녀들 나와서 무도회 갈 준비하는 그런.....언니너무예뻐요오오오....,1개
116,둘리,진짜 스페인 공주인가 ㅠㅠ😭💖,0개
117,왈라르,호엥 진짜 썸네일 보고 홀린 듯 들어왔다 ..🤭🥺,0개
118,유민재,ㅠㅠㅠㅠㅠㅠㅠ,0개
119,지은,우와 개쩐다 무슨 광고영상 퀄이 이래 쩔어요,1개
120,어뜨어뜨,"왕,, 댓글 잘 안다는데,, 보는 내내 감탄했어여,, 최고다 최고 한별님이 나라다,, ✨",0개
121,이종원,가장 한별스러움이 진하게 담긴 영상💜,0개
122,선영,헐 우와 편집이랑 더빙 쩔어요ㅠㅠㅠㅠㅠㅠㅠ,1개
123,star0202,와...진짜 분위기 너무 이쁘고 멋있구 완젼 다했넹..💕,0개
124,III,으악 이런 포스트모던 느낌 개조아요ㅠㅜㅠㅠ 진짜 미쵸따,0개
125,김하늘,언니... 영화보는거같아요 진짜 짱이다..💖,0개
126,,우와 ... 한별 언니 짱 신기해요 ... 대박이다  신기해요 진짜 무슨 단편 영화같은 느낌이에요 !!! 진짜 대박이다 .. 진짜 고생하셨겠네욤 🥺 코로나 조심하시구 너무너무 잘보고 갑니당 🥰,0개
127,힐링그린,"어느 귀족집 딸같다,,,언니 너무 분위기 찰떡인것",1개
128,spacejj,고전영화나 광고같은 느낌 낭낭 넘좋다🎬🎥📺💋💋,1개
129,윤재영,꺄아 영화감성🎥😎✨,1개
130,전민경,와 언니.. 너무 홀딱 반하고가용 ㅜㅜㅜ 아 멋져 발음 대박치인다,0개
131,HRKim,우와 이런 느낌 너무 좋아요!!!시리즈로 계속 해도 너무 좋을 것 같아요.,1개
132,삐삐,"언니 뭐예요ㅠㅜㅜㅜ 색감분위기 다 너무 제취향ㅠㅜㅠ 영상 정보 뿐 아니라 너무 예쁜 영상이에요 작은 소품이나 의상, 자막 디테일 다 너무너무너무 신경 많이 쓰신 티가 나요ㅠㅜㅠㅜㅠ 진짜 울 한별언니 완전 천재만재잖아요ㅠㅠ❤️❤️❤️❤️❤️",1개
133,뽀야밈,제가 제일좋아하는 영상느낌 너무 완벽해요 진짜ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 중세시대 영화 말투까지 너무 두근두근 ㅠ,0개
134,감자,와 진짜 영화같아요 너무 예뻐...,0개
135,쥐돌이,오 60년대 스킨케어 유튜브영상 완전 고증잘하셨다,1개
136,김성경,오 뭔가 처음보는 느낌의 영상인데 거부감이 들기보다는 신기하고 막 너무 예뻐요 한별님한테 잘 어울리는 느낌 같아서 더 예쁘게 느껴지는 거 같아요🥰 디테일 너무 좋다ㅠ 영상에 공이 많이 들어갔을거 같은게 잘은 모르지만 느껴져요ㅠㅠ,0개
137,큐룐,"와 언니 이런 거 넘 좋아요💕 아 진짜로 넘 좋아요,, 요즘 제가 빠진 장르가 하이틴이랑 약간 옛 고전 영화 장르 엄청 좋아해서 맨날 로마의 휴일이나 찰리 채플린 영화 같은 장르 많이 보는데 언니가 찍은 영상이 딱 그 느낌이 있어서 아 진짜 넘 좋아요ㅠㅠㅠㅠㅠㅠ하ㅠㅠㅠ💕💕💕💕💕",1개
138,푸린,아니 이 언니 무ㅓ야ㅜㅜㅜ 무드 인디고 같아ㅜㅜㅜ,0개
139,맨날들어asmr,드디어 언니가 천재가되었구나... 그렇군...,0개
140,ounna,영상미 오바다 진짜 옛날 영화느낌 넘 좋아ㅜ,0개
141,블루,한별님 혹시 화질은 일부러 720p가 최대인건가용?! 선명하지않아서 제품이 잘 안보이는것같아서용,0개
142,owYell,구닥으로 영상 촬영한 것 같다 분위기 미쳐 ㅠㅠ,0개
143,jihyony,우와 그랜드호텔 느낌ㅋㅋㅋㅋ,1개
144,김가영,"오!!!되게 신박한 광고영상가타여..비지엠이랑 영상미가 진짜 중세시대 보는 느낌쓰,,!!!
그나저나 언니 스페인어 왜캐 섹시해여🤎",0개
145,유롱이,공주님...ㅜㅜㅜ 왜 이제야 오셨습니다 진짜 공주님 ㅜㅜㅜㅜㅜㅜ,0개
146,LisaKim,진짜 아이디어 쩔고 홀린듯이 봤어요 연속두번보게되는마성 ㅜㅜㅜ 광고주들 지금 엄청 좋아할거같은 느낌입니댴ㅋㅋㅋ 한별님 최고예용🤍,0개
147,김민지,아니 이게 무슨일이야 ㅠㅠㅠㅠㅠ언니 진짜 완벽해요,0개
148,수영,"아니 언니 왜 안늙어요ㅜㅜㅜㅜㅜㅜㅜㅜ
세상 풍파는 저만 맞는거같나요...",1개
149,LVyPhm,Ahhh this is so creative. Love your video so much!!,1개
150,애플망고,언니...ㅠㅠㅠㅠ 왤케 이뻐요...ㅠㅠㅠ 오늘 글 잘 보고가요 !! 매일매일 응원할게요 !!,0개
151,여름,헐 대박ㅜㅜㅡㅜㅜㅜㅠ영상퀄 뭐에요ㅠㅜㅜㅡㅜㅜㅠ빈티지분위기 개쩐다....,0개
152,김민정,와아아아아아 1분전!!,0개
153,YAKim,옆에 사슴(?)  한마리 있을 것 같은 느낌이에요~~,1개
154,김채은,이뻐요ㅜㅜㅜㅜ,0개
155,동현,"어우,,,멋있어 진짜,,❣️",0개
156,이민정,내댓글 ㅠㅡㅠ 뭔가 80년대 스페인 영화보는 기분임.....!!!!!!,0개
157,혜지,아까 계속 삭제됐다고ㅜㅜ 당황해서ㅜㅜ 이제 봅니다ㅜㅜ,0개
158,위이잉,음악소리가 쫌만 작았음 목소리 더 잘들렸을것같아서 아쉬워요 하지만 넘 잘봤어요!!!,0개
159,동글댕글,썸네일이 너무 예뻐서 들어왔는데 입덕💖,0개
0,한별Hanbyul,"별별님들~! 별하~!!⭐️🌹💕
오늘은 제 최애 쇼핑몰 중에 하나인 팜므뮤즈!! 입니다~!!
아마 별별님들이라면 다들 아실 거 같은..ㅋㅋㅋㅋ 너무 익숙한 쇼핑몰이라
할까 말까 고민 했는데 그냥 들고 왔어요!!ㅋㅋㅋㅋㅋ


아 그리고 업로드 하고 나서 알았는데 ㅠㅠ
레이스 원피스 착용샷 하나가 파일 오류가 나서 빠졌더라구요 ㅠㅠㅠ 흐어어어..
요거는 제가 나중에 인스타에서 꼭 착용샷 올릴게요!!! ㅠㅠㅠㅠ


또 보고 싶은 쇼핑몰 댓글로 신청 해 주세요!!💜",680개
1,이낭랑,어째 보세는 점점 비싸지고 브랜드는 점점 싸지는 느낌.. 브랜드 발품파는게 질은 더 좋고 가격은 더 쌀듯..,633개
2,MJ,팜므뮤즈...옷 컨셉은 정말 취저이지만 퀄리티에 비해 높은가격.. 제품을 보라는건지 모델이랑 배경을 보라는건지 모를 사진들...쇼핑몰이 아니라 사진과 포토폴리오인줄ㅋㅋㅋ(귀걸이 사려는데 모델 전체샷만 이따시만큼 보여줌ㅋㅋㅋ)거기다 과한 색보정 등으로 빠이한 애증의 쇼핑몰ㅜㅠ,22개
3,셀,"진짜 언니 말대로 한국의 S 사이즈 기준은 너무하다고 생각해요ㅠㅠ 일단 기본적으로 쇼핑몰 대부분 사이즈 자체도 한정되어 있고 선택의 폭이 좁은 것 같아요 속상,,,",971개
